Source	Bioentity ID	HGNC	GO Term	Reference	Evidence Type	Evidence With	Ontology Aspect	Gene Description	Synonyms	Type	Organism	Date	Source2
UniProtKB	A0A2I3S989	RPGRIP1	GO:0046548	PMID:21873635	IBA	PANTHER:PTN002682000|ZFIN:ZDB-GENE-091204-394	P	RPGR interacting protein 1	UniProtKB:A0A2I3S989|PTN000369825	protein	NCBITaxon:9598	20200618	GO_Central
UniProtKB	F6T1A9	SPATA7	GO:0120200	PMID:21873635	IBA	MGI:MGI:2144877|PANTHER:PTN002686619	C	Spermatogenesis associated 7	UniProtKB:F6T1A9|PTN001429534	protein	NCBITaxon:9796	20200313	GO_Central
UniProtKB	F6T1A9	SPATA7	GO:0045494	PMID:21873635	IBA	MGI:MGI:2144877|PANTHER:PTN002686619	P	Spermatogenesis associated 7	UniProtKB:F6T1A9|PTN001429534	protein	NCBITaxon:9796	20200313	GO_Central
UniProtKB	F6SMY5	PDE6A	GO:0060041	PMID:21873635	IBA	MGI:MGI:97524|PANTHER:PTN002602882	P	Phosphodiesterase	UniProtKB:F6SMY5|PTN000886849	protein	NCBITaxon:9544	20180917	GO_Central
UniProtKB	A0A2I3TIA2	SPATA7	GO:0045494	PMID:21873635	IBA	MGI:MGI:2144877|PANTHER:PTN002686619	P	Spermatogenesis associated 7	UniProtKB:A0A2I3TIA2|PTN000383030	protein	NCBITaxon:9598	20200313	GO_Central
UniProtKB	A0A2I3TIA2	SPATA7	GO:0120200	PMID:21873635	IBA	MGI:MGI:2144877|PANTHER:PTN002686619	C	Spermatogenesis associated 7	UniProtKB:A0A2I3TIA2|PTN000383030	protein	NCBITaxon:9598	20200313	GO_Central
UniProtKB	A0A2I3TH56	IGFN1	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	Uncharacterized protein	UniProtKB:A0A2I3TH56|PTN004438762	protein	NCBITaxon:9598	20180817	GO_Central
UniProtKB	Q17QU7	DHRS13	GO:0042574	PMID:21873635	IBA	PANTHER:PTN002534708|UniProtKB:Q8NBN7	P	Dehydrogenase/reductase SDR family member 13	UniProtKB:Q17QU7|PTN000673111	protein	NCBITaxon:9913	20200207	GO_Central
UniProtKB	Q17QC2	RDH13	GO:0042574	PMID:21873635	IBA	PANTHER:PTN002534708|UniProtKB:Q8NBN7	P	Retinol dehydrogenase 13	UniProtKB:Q17QC2|PTN000673151	protein	NCBITaxon:9913	20200207	GO_Central
UniProtKB	A0A2I3RS55	DCX	GO:0060041	PMID:21873635	IBA	MGI:MGI:1341105|PANTHER:PTN000543934|ZFIN:ZDB-GENE-120711-1	P	Doublecortin	UniProtKB:A0A2I3RS55|PTN002550555	protein	NCBITaxon:9598	20170228	GO_Central
