Gene,Class,MAC phenotype,OMIM,Inheritance,Syndrome/associated phenotype -*,Reference,,
ABCB6,non-syndromic,"Microphthalmia, Coloboma of iris, retina and choroid",605452,AD,-,"Wang et al., 2012",,
ALDH1A3,non-syndromic,"Microphthalmia, retinal coloboma",600463,AR,-,"Fares-Taie et al., 2013;ÊYahyavi et al., 2013",,
ATOH7,non-syndromic,Microphthalmia,609875,AR,Persistent hyperplastic primary vitreous,"Khan et al., 2012",,
CRYAA,non-syndromic,"Coloboma of iris, Cataract",123580,AD,-,"Beby et al., 2007",,
FZD5,non-syndromic,"Microphthalmia, Coloboma of iris, retina and choroid",601723,AD,-,"Liu et al., 2016",,
IPO13,non-syndromic,"Microphthalmia, coloboma of iris, cataract",610411,AR,-,"Huang et al., 2018",,
LCP1,non-syndromic,Coloboma of iris and choroid,153430,AD,-,"Rainger et al., 2017",,
MAF,non-syndromic,"Coloboma of iris, Cataract",177075,AD,Cataract,"Jamieson et al., 2002",,
Mir204,non-syndromic,Coloboma of iris,610942,AD,Retinal dystrophy,"Conte et al., 2015",,
PAX6,non-syndromic,"Coloboma of iris, retina, choroid and optic nerve Anophthalmia",607108,AD AR,"Aniridia, Morning glory disc anomaly, PeterÕs Anomaly, Anterior segment dysgenesis, Cataract with late-onset corneal dystrophy, Foveal hypoplasia, Keratitis, Optic nerve hypoplasia.","Azuma et al., 1996;ÊAzuma et al., 2003;ÊGlaser et al., 1994",,
RARB,non-syndromic,Microphthalmia,180220,"AR, AD","diaphragmatic hernia, pulmonary hypoplasia, and cardiac defects","Srour et al., 2013",,
RAX,non-syndromic,"Microphthalmia, anophthalmia, coloboma of optic nerve",601881,AR,-,"Voronina et al., 2004",,
RBP4,non-syndromic,"Microphthalmia, Coloboma of iris, choroid and retina",180250,AD AR,"Retinal dystrophy, comedogenic acne syndrome","Cukras et al., 2012;ÊChou et al., 2015.",,
SALL2,non-syndromic,"Microphthalmia, Coloboma of iris, retina and choroid",602219,AR,-,"Kelberman et al., 2014",,
SHH,non-syndromic,"Microphthalmia with Coloboma of retina, choroid, iris and retina",600725,AD,Holoprosencephaly,"Schimmenti et al. 2003;ÊNanni et al., 1999",,
SIX6,non-syndromic,"Coloboma of iris, choroid and optic nerve",606326,AR,"Optic disc anomalies, macular atrophy and reduces retinal ganglion cell differentiation","Aldahmesh et al., 2013;ÊYariz et al., 2015",,
STRA6,non-syndromic,"Microphthalmia, anophthalmia, coloboma",610745,AR,-,"Casey et al., 2011",,
TENM3,non-syndromic,"Microphthalmia, iris coloboma",610083,AR,-,"Aldahmesh et al., 2012",,
VSX2,non-syndromic,"Microphthalmia, anophthalmia, iris coloboma",142993,AR,cataracts,"Kohn et al., 1988;ÊBar-Yosef et al., 2004",,
ACTB,syndromic,Coloboma of iris and retina,102630,AD,"Baraitser-Winter syndrome 1, Dystonia, juvenile-onset","Riviere et al., 2012",,
ACTG1,syndromic,Coloboma of iris and choroid,102560,AD,"Baraitser-Winter syndrome 2, Deafness","Riviere et al., 2012",,
ALG3,syndromic,Coloboma of iris,608750,AR,"Congenital disorder of glycosylation, type IV (CDGS type IV)","Korner et al., 1999",,
ALX1,syndromic,"Microphthalmia, coloboma of iris and eye lid",601527,AR,Frontofacionasal dysostosis,"Uz et al., 2010",,
BCOR,syndromic,"Microphthalmia, Coloboma of iris, choroid and optic nerve",300485,XL Recessive,Lenz syndrome,"Ng et al., 2004",,
BMP4,syndromic,"Microphthalmia, anophthalmia, coloboma",112262,AD,Orofacial cleft facial dysmorphism,"Bakrania et al., 2008;ÊReis et al., 2011",,
BMP7,syndromic,"Microphthalmia, anophthalmia, Coloboma of retina, choroid and optic nerve",112267,AD,"Developmental delay, deafness, scoliosis, and cleft palate","Wyatt et al., 2010",,
C12orf57,syndromic,"Coloboma of iris, retina and choroid",615140,AR,Temtamy syndrome,"Temtamy et al., 1996",,
CHD7,syndromic,"Coloboma of iris, retina, choroid and optic nerve, eye lid (rarely)",608892,AD,CHARGE syndrome,"Vissers et al., 2004",,
CLDN19,syndromic,Pseudo coloboma?,610036,AR,"Hypomagnesemia, renal, with ocular involvement","Khan et al., 2018",,
CREBBP,syndromic,"Microphthalmia, coloboma of iris, choroid and retina",600140,AD/del,Rubinstein-T aybi syndrome,"Ge et al., 1995",,
CRIM1,syndromic,"Coloboma of iris, retina, choroid and optic nerve",606189,AD,,"Toker et al., 2003",,
DPYD,syndromic,"Microphthalmia, coloboma of iris and choroid",612779,AR,Dihydropyrimidine dehydrogenase deficiency,"Van Gennip et al., 1994;ÊMeinsma et al. 1995",,
FAT1,syndromic,"Microphthalmia, coloboma of choroid and retina",600976,AR,"Glomerulonephropathy, cutaneous syndactyly","Lahrouchi et al., 2019",,
FBN1,syndromic,"Coloboma of lens; rarely iris, retina and optic disk coloboma",134797,AR,Marfan syndrome,"Nemet et al., 2006",,
FBN2,syndromic,Coloboma of retina and choroid,612570,AD,Congenitalcontractural arachnodactyly,Bard 1979,,
FGFR1,syndromic,"Microphthalmia, anophthalmia, coloboma of iris and eye lid",136350,Somatic Mosaicism,Oculocerebrocutaneous syndrome Encephalocraniocutaneo us lipomatosis,"Prontera et al., 2009",,
FGFR2,syndromic,Coloboma of iris,176943,AD,Multiple,"Graul-Neumann et al., 2017",,
FLNA,syndromic,"Coloboma of iris, retina and optic nerve",300017,XL Dominant XL Recessive,Multiple,"Robertson et al., 2003",,
FOXA2,syndromic,Choroidal coloboma,600288,de novo,"hypopituitarism, hyperinsulinism and endoderm-derived organ abnormalities","Giri et al., 2017",,
FOXE3,syndromic,"Microphthalmia, Coloboma of iris, retina and optic disc",601094,"AD, AR","Anterior segment dysgenesis, Cataract, aniridia","Khan et al., 2016",,
FREM1,syndromic,"Anophthalmia, microphthalmia and coloboma of upper eyelid",608944,AR,MOTA syndrome,"Marles et al., 1992",,
GDF3,syndromic,-,606522,AD,"Klippel-Feil Syndrome3, skeletal anomalies","Ye et al., 2010",,
GDF6,syndromic,"Microphthalmia, Coloboma of iris, retina, choroid and optic nerve",601147,AD AR,Klippel-Feil Syndrome1 Leber congenital amaurosis,"Asai-Coakwell et al., 2009",,
GJA8,syndromic,"Microphthalmia,",600897,AD,Congenital cataracts,"Ceroni et al., 2019",,
HMGB3,syndromic,"Coloboma of iris, retina and choroid",300193,XL,"microcephaly, short stature, and intellectual disability","Scott et al., 2014",,
HMX1,syndromic,"Coloboma of iris, retina and choroid",142992,AR,Oculoauricular syndrome,"Schorderet et al., 2008",,
IGBP1,syndromic,Coloboma of iris and optic nerve,300139,XL Recessive,"Corpus callosum defect, mental retardation, and micrognathia","Graham et al., 2003",,
KCTD1,syndromic,Coloboma of iris and eye lid,613420,AD,Scalp-ear-nipple syndrome (Finlay-Marks syndrome),"Sobreira et al., 2006",,
KMT2D,syndromic,"Coloboma of iris, retina, choroid and optic nerve",602113,AD,Kabuki syndrome,"Ming et al., 2003",,
LINC00237,syndromic,Coloboma of retina and eye lid,614992,AD,MOMO syndrome,"Moretti-Ferreira et al., 1993",,
LRP2,syndromic,Coloboma of iris,600073,AR,Donnai-Barrow syndrome,"Avunduk et al., 2000",,
