Gene	Process
KDSR	ceramide
SPTLC2	ceramide
SPTLC1	ceramide
ASAH1	ceramide
PLPP1	ceramide
SPHK1	ceramide
CERS2	ceramide
SPTLC3	ceramide
ASAH2	ceramide
SPHK2	ceramide
CERK	ceramide
CERS4	ceramide
CERS5	ceramide
SGPP2	ceramide
SGMS2	ceramide
CERS3	ceramide
CERS6	ceramide
CERS1	ceramide
DEGS2	ceramide
ARSA	ceramide
GALC	ceramide
GBA	ceramide
GLA	ceramide
GLB1	ceramide
NEU1	ceramide
NEU2	ceramide
SMPD1	ceramide
SMPD2	ceramide
UGCG	ceramide
UGT8	ceramide
DEGS1	ceramide
PLPP2	ceramide
PLPP3	ceramide
SGPL1	ceramide
NEU3	ceramide
ACER3	ceramide
SMPD3	ceramide
SMPD4	ceramide
GBA2	ceramide
SGPP1	ceramide
ACER1	ceramide
NEU4	ceramide
SPTSSA	ceramide
SGMS1	ceramide
ENPP7	ceramide
ACER2	ceramide
B4GALT6	ceramide
GAL3ST1	ceramide
ALDH3B1	ceramide
ALDH3B2	ceramide
ALDH3A2	ceramide
ARSB	ceramide
STS	ceramide
ARSD	ceramide
ARSE	ceramide
ARSF	ceramide
CSNK1G2	ceramide
B4GALNT1	ceramide
GDF1	ceramide
GM2A	ceramide
HEXA	ceramide
HEXB	ceramide
OSBP	ceramide
CTSA	ceramide
PRKD1	ceramide
PSAP	ceramide
B3GALNT1	ceramide
VAPB	ceramide
VAPA	ceramide
COL4A3BP	ceramide
ARSG	ceramide
ESYT1	ceramide
PRKD3	ceramide
PRKD2	ceramide
SUMF2	ceramide
ORMDL2	ceramide
GLTP	ceramide
ESYT2	ceramide
GBA3	ceramide
FA2H	ceramide
GLB1L	ceramide
ARSJ	ceramide
CPTP	ceramide
ESYT3	ceramide
ORMDL1	ceramide
ORMDL3	ceramide
PPM1L	ceramide
ARSK	ceramide
SPTSSB	ceramide
SUMF1	ceramide
ARSI	ceramide
ARSH	ceramide
SERINC1	ceramide
AKT1	ceramide
BIRC3	ceramide
ASAH1	ceramide
BAD	ceramide
BAX	ceramide
BCL2	ceramide
BID	ceramide
CASP8	ceramide
CTSD	ceramide
EGF	ceramide
MAP3K1	ceramide
MYC	ceramide
NFKB1	ceramide
NFKBIA	ceramide
PAWR	ceramide
PDGFA	ceramide
PRKCD	ceramide
PRKCZ	ceramide
MAPK1	ceramide
MAPK3	ceramide
MAPK8	ceramide
MAP2K1	ceramide
MAP2K2	ceramide
EIF2AK2	ceramide
RAF1	ceramide
RELA	ceramide
MAP2K4	ceramide
SMPD1	ceramide
TNF	ceramide
TNFRSF1A	ceramide
TRAF2	ceramide
MADD	ceramide
PRKRA	ceramide
TRADD	ceramide
RIPK1	ceramide
CRADD	ceramide
FADD	ceramide
KSR1	ceramide
AIFM1	ceramide
MAP4K4	ceramide
BAG4	ceramide
CYCS	ceramide
SMPD3	ceramide
SPHK2	ceramide
CerS2	ceramide
EIF2S1	translation
EIF2B1	translation
EIF2S3	translation
EIF2B4	translation
EIF2B3	translation
EIF2B2	translation
EIF2B5	translation
EIF2S2	translation
EEF1A1	translation
EEF1A2	translation
EEF1B2	translation
EEF1D	translation
EEF1G	translation
EEF2	translation
EIF1AX	translation
EIF4A1	translation
EIF4A2	translation
EIF4B	translation
EIF4E	translation
EIF4EBP1	translation
EIF4EBP2	translation
EIF4G1	translation
EIF5	translation
EIF5A	translation
ETF1	translation
EIF3E	translation
EIF6	translation
EIF2AK2	translation
EIF4H	translation
EIF4EBP3	translation
EIF3A	translation
EIF3B	translation
EIF3C	translation
EIF3D	translation
EIF3F	translation
EIF3G	translation
EIF3H	translation
EIF3I	translation
EIF3J	translation
EIF4G3	translation
EIF1AY	translation
EIF2AK3	translation
EIF5B	translation
EIF1	translation
PAIP1	translation
CLUH	translation
GSPT2	translation
PABPC1	translation
EIF2AK1	translation
EEF2K	translation
EIF3CL	translation
MIR1248	translation
LOC101930123	translation
MIR7705	translation
BAK1	mito
BCL2	mito
BCL2L1	mito
BNIP3	mito
SOD1	mito
TP53	mito
UCP2	mito
UCP1	mito
UCP1	mito
GRPFL1	mito
AIP	mito
CPT1B	mito
CPT2	mito
TIMM10B	mito
GRPEL1	mito
HSP90AA1	mito
HSPD1	mito
IMMP2L	mito
MFN2	mito
MIPEP	mito
MTX2	mito
STARD3	mito
TSPO	mito
SLC25A1	mito
SLC25A10	mito
SLC25A12	mito
SLC25A13	mito
SLC25A14	mito
SLC25A15	mito
SLC25A16	mito
SLC25A17	mito
SLC25A18	mito
SLC25A19	mito
SLC25A2	mito
SLC25A20	mito
SLC25A21	mito
SLC25A22	mito
SLC25A23	mito
SLC25A24	mito
SLC25A25	mito
SLC25A27	mito
SLC25A3	mito
SLC25A30	mito
SLC25A31	mito
SLC25A37	mito
SLC25A4	mito
SLC25A5	mito
COX10	mito
COX18	mito
SH3GLB1	mito
TOMM20	mito
TOMM22	mito
TOMM34	mito
TOMM40	mito
TOMM40L	mito
TOMM70	mito
IMMP1L	mito
IMMP2L	mito
OPA1	mito
TAZ	mito
TIMM10	mito
TIMM17A	mito
TIMM17B	mito
TIMM22	mito
TIMM23	mito
TIMM44	mito
TIMM50	mito
TIMM8A	mito
TIMM8B	mito
FIS1	mito
MFN1	mito
DNM1L	mito
LRPPRC	mito
MSTO1	mito
NEFL	mito
RHOT1	mito
RHOT2	mito
UXT	mito
AIFM2	mito
BBC3	mito
BID	mito
BNIP3	mito
CDKN2A	mito
MPV17	mito
PMAIP1	mito
SFN	mito
