Name	ID	Organism	log2FoldChange	Base
ACTA2	ENSG00000107796	Mus musculus	9.441428936756616	Pericyte
ACTA2	ENSG00000107796	Homo sapiens	5.8073336283837715	Pericyte
ACTA2	ENSG00000107796	Homo sapiens	-4.531864671155062	Rod
ACTA2	ENSG00000107796	Mus musculus	-3.4858493780826696	Bipolar Cell
ACTA2	ENSG00000107796	Mus musculus	-3.412614744155256	Retinal Ganglion Cell
ACTA2	ENSG00000107796	Homo sapiens	-3.2035752779811597	Amacrine Cell
ACTA2	ENSG00000107796	Mus musculus	-3.562110721585692	Horizontal Cell
ACTA2	ENSG00000107796	Homo sapiens	-2.940997188707862	Retinal Ganglion Cell
ACTA2	ENSG00000107796	Mus musculus	-2.3977653277238047	Amacrine Cell
ACTA2	ENSG00000107796	Homo sapiens	-2.4274988674860674	Cone
ACTA2	ENSG00000107796	Mus musculus	-3.113552078523934	Microglia
ACTA2	ENSG00000107796	Mus musculus	-2.698561912306819	Neurogenic Cell
ACTA2	ENSG00000107796	Homo sapiens	-1.6919284496357208	Bipolar Cell
ACTA2	ENSG00000107796	Homo sapiens	-2.342594668907123	RPC
ACTA2	ENSG00000107796	Homo sapiens	-2.0277483622815895	Horizontal Cell
ACTA2	ENSG00000107796	Mus musculus	-1.711589309813748	Rod
ACTA2	ENSG00000107796	Macaca fascicularis	3.201031760596528	Pericyte
ACTA2	ENSG00000107796	Mus musculus	1.8305354842009918	Macrophage
ACTA2	ENSG00000107796	Mus musculus	-2.1362128741352047	AC/HC Precursor
ACTA2	ENSG00000107796	Mus musculus	-1.9357738633464983	Rod Bipolar Cell
ACTA2	ENSG00000107796	Mus musculus	-1.3972221288429734	RPC
ACTA2	ENSG00000107796	Mus musculus	-1.0970738208328565	Muller Glia
ACTA2	ENSG00000107796	Homo sapiens	-1.1795545809396977	Neurogenic Cell
ACTA2	ENSG00000107796	Homo sapiens	-1.0538308943734578	Rod Bipolar Cell
ACTA2	ENSG00000107796	Homo sapiens	-0.8443867701624967	AC/HC Precursor
ACTA2	ENSG00000107796	Homo sapiens	0.41247892945793185	Melanocyte
ACTA2	ENSG00000107796	Mus musculus	-1.1377481221121823	Melanocyte
ACTA2	ENSG00000107796	Homo sapiens	0.18404627254335212	Muller Glia
ACTA2	ENSG00000107796	Homo sapiens	0.18963505329209918	Microglia
ACTA2	ENSG00000107796	Macaca fascicularis	-0.49316317028494533	Macrophage
ACTA2	ENSG00000107796	Macaca fascicularis	-0.4565433935954208	Retinal Ganglion Cell
ACTA2	ENSG00000107796	Macaca fascicularis	-0.4985399455888766	Rod
ACTA2	ENSG00000107796	Mus musculus	0.08134735788829812	Cone
ACTA2	ENSG00000107796	Macaca fascicularis	-0.3351784207911532	Microglia
ACTA2	ENSG00000107796	Homo sapiens	-0.03636616380973678	Macrophage
ACTA2	ENSG00000107796	Macaca fascicularis	-0.2853424427348407	Horizontal Cell
ACTA2	ENSG00000107796	Macaca fascicularis	-0.4070829778304109	Melanocyte
ACTA2	ENSG00000107796	Macaca fascicularis	-0.4249346334756822	Amacrine Cell
ACTA2	ENSG00000107796	Macaca fascicularis	-0.5001235589965936	Bipolar Cell
ACTA2	ENSG00000107796	Macaca fascicularis	-0.45886369806132504	Cone
ACTA2	ENSG00000107796	Macaca fascicularis	-0.4381373245446267	Muller Glia
AIF1	ENSG00000204472	Homo sapiens	11.18968224333828	Microglia
AIF1	ENSG00000204472	Homo sapiens	10.370841382610225	Macrophage
AIF1	ENSG00000204472	Macaca fascicularis	9.181632868371375	Microglia
AIF1	ENSG00000204472	Macaca fascicularis	9.646278534929378	Macrophage
AIF1	ENSG00000204472	Mus musculus	10.452123210380229	Microglia
AIF1	ENSG00000204472	Mus musculus	9.022427822480205	Macrophage
AIF1	ENSG00000204472	Homo sapiens	-4.332371564277192	Muller Glia
AIF1	ENSG00000204472	Macaca fascicularis	-4.842860584654595	Retinal Ganglion Cell
AIF1	ENSG00000204472	Homo sapiens	-3.418391106578589	Amacrine Cell
AIF1	ENSG00000204472	Macaca fascicularis	3.3777731655986534	Bipolar Cell
AIF1	ENSG00000204472	Homo sapiens	-2.623047844114333	Retinal Ganglion Cell
AIF1	ENSG00000204472	Mus musculus	-3.251613270912662	Neurogenic Cell
AIF1	ENSG00000204472	Macaca fascicularis	-2.513825601896807	Amacrine Cell
AIF1	ENSG00000204472	Mus musculus	-2.48496085006909	Rod
AIF1	ENSG00000204472	Homo sapiens	-2.1612977958888653	Cone
AIF1	ENSG00000204472	Homo sapiens	-1.7698577389712125	Bipolar Cell
AIF1	ENSG00000204472	Homo sapiens	-1.527347547866038	Rod
AIF1	ENSG00000204472	Mus musculus	-2.766601545637495	RPC
AIF1	ENSG00000204472	Homo sapiens	1.988944770602921	Pericyte
AIF1	ENSG00000204472	Macaca fascicularis	-2.3133248350624647	Muller Glia
AIF1	ENSG00000204472	Mus musculus	1.6075738021283421	Retinal Ganglion Cell
