Gene	Disease
PDE6C	Achromatopsia
CNGA3	Achromatopsia
PDE6H	Achromatopsia
GNAT2	Achromatopsia
CNGB3	Achromatopsia
PDE6B	Stationary night blindness
GNAT1	Stationary night blindness
RHO	Stationary night blindness
CABP4	Stationary night blindness
GPR179	Stationary night blindness
GRM6	Stationary night blindness
TRPM1	Stationary night blindness
SLC24A1	Stationary night blindness
LRIT3	Stationary night blindness
RHO	Retinitis pigmentosa
SAG	Retinitis pigmentosa
RDH12	Retinitis pigmentosa
PDE6G	Retinitis pigmentosa
PRPH2	Retinitis pigmentosa
PDE6A	Retinitis pigmentosa
ROM1	Retinitis pigmentosa
NR2E3	Retinitis pigmentosa
RP1	Retinitis pigmentosa
PRCD	Retinitis pigmentosa
PDE6B	Retinitis pigmentosa
NRL	Retinitis pigmentosa
IMPG2	Retinitis pigmentosa
PROM1	Retinitis pigmentosa
USH2A	Retinitis pigmentosa
RBP3	Retinitis pigmentosa
TULP1	Retinitis pigmentosa
RPGR	Retinitis pigmentosa
TTC8	Retinitis pigmentosa
IMPDH1	Retinitis pigmentosa
PRPF31	Retinitis pigmentosa
SPATA7	Retinitis pigmentosa
PRPF8	Retinitis pigmentosa
RP9	Retinitis pigmentosa
ZNF513	Retinitis pigmentosa
KLHL7	Retinitis pigmentosa
IDH3B	Retinitis pigmentosa
SNRNP200	Retinitis pigmentosa
RLBP1	Retinitis pigmentosa
RGR	Retinitis pigmentosa
LRAT	Retinitis pigmentosa
RPE65	Retinitis pigmentosa
MERTK	Retinitis pigmentosa
SEMA4A	Retinitis pigmentosa
RP2	Retinitis pigmentosa
PRPF3	Retinitis pigmentosa
TOPORS	Retinitis pigmentosa
WDR19	Retinitis pigmentosa
RDH12	Leber congential amaurosis
AIPL1	Leber congential amaurosis
RD3	Leber congential amaurosis
RPGRIP1	Leber congential amaurosis
TULP1	Leber congential amaurosis
CRX	Leber congential amaurosis
GUCY2D	Leber congential amaurosis
CRB1	Leber congential amaurosis
IMPDH1	Leber congential amaurosis
SPATA7	Leber congential amaurosis
IQCB1	Leber congential amaurosis
LCA5	Leber congential amaurosis
CEP290	Leber congential amaurosis
NMNAT1	Leber congential amaurosis
LRAT	Leber congential amaurosis
RPE65	Leber congential amaurosis
ELOVL4	Macular degeneration
ABCA4	Macular degeneration
MAP2	Macular degeneration
HTRA1	Macular degeneration
HMCN1	Macular degeneration
CFHR4	Macular degeneration
CFHR1	Macular degeneration
CFH	Macular degeneration
ERCC6	Macular degeneration
FILIP1L	Macular degeneration
ARMS2	Macular degeneration
CFI	Macular degeneration
APOE	Macular degeneration
COL8A1	Macular degeneration
TIMP3	Macular degeneration
BEST1	Macular degeneration
CST3	Macular degeneration
VEGFA	Macular degeneration
FRK	Macular degeneration
CX3CR1	Macular degeneration
C3	Macular degeneration
C9	Macular degeneration
C2	Macular degeneration
ASPM	Macular degeneration
LIPC	Macular degeneration
COL10A1	Macular degeneration
CFB	Macular degeneration
FBLN5	Macular degeneration
TNFRSF10A	Macular degeneration
CETP	Macular degeneration
